product_category_name_english,Category_Revenue,Category_Items_Sold,Category_Orders,Product_Count,Category_Revenue_Rank
agro_industry_and_commerce,72530.47,212,183,74,29.0
air_conditioning,55024.96,297,254,124,33.0
art,24202.64,209,202,55,44.0
arts_and_craftmanship,1814.01,24,24,19,65.0
audio,50688.5,364,350,58,34.0
auto,592720.11,4235,3991,1900,9.0
baby,411764.89,3065,2933,919,12.0
bed_bath_table,1036988.68,11115,10160,3029,3.0
books_general_interest,46856.88,553,530,216,36.0
books_imported,4639.85,60,59,31,59.0
books_technical,19096.06,267,264,123,49.0
cds_dvds_musicals,730.0,14,12,1,69.0
christmas_supplies,8800.82,153,130,65,54.0
cine_photo,6933.46,72,66,28,56.0
computers,222963.13,203,181,30,17.0
computers_accessories,911954.32,7827,6887,1639,5.0
consoles_games,157465.22,1137,1080,317,22.0
construction_tools_construction,144677.59,929,783,400,24.0
construction_tools_lights,41080.0,304,247,78,38.0
construction_tools_safety,40544.52,194,169,91,39.0
cool_stuff,635290.85,3796,3658,789,7.0
costruction_tools_garden,25715.89,238,212,88,43.0
costruction_tools_tools,15903.95,103,97,39,50.0
diapers_and_hygiene,1567.59,39,27,12,66.0
drinks,22428.7,379,302,81,46.0
dvds_blu_ray,5999.39,64,62,48,58.0
electronics,160246.74,2767,2565,517,21.0
fashio_female_clothing,2803.64,48,40,27,62.0
fashion_bags_accessories,152823.54,2031,1979,849,23.0
fashion_childrens_clothes,569.85,8,8,5,70.0
fashion_male_clothing,10797.82,132,123,95,52.0
fashion_shoes,23562.77,262,259,173,45.0
fashion_sport,2119.51,30,27,19,63.0
fashion_underwear_beach,9541.55,131,122,53,53.0
fixed_telephony,59583.0,264,217,116,31.0
flowers,1110.04,33,29,14,67.0
food,29393.41,510,453,82,41.0
food_drink,15179.48,278,234,104,51.0
furniture_bedroom,20028.78,109,95,45,48.0
furniture_decor,729762.49,8334,6781,2657,6.0
furniture_living_room,68916.56,503,430,156,30.0
furniture_mattress_and_upholstery,4368.08,38,38,10,61.0
garden_tools,485256.46,4347,3607,753,10.0
health_beauty,1258681.34,9670,9022,2444,1.0
home_appliances,80171.53,771,764,370,28.0
home_appliances_2,113317.74,238,234,90,26.0
home_comfort_2,760.27,30,24,5,68.0
home_confort,58572.04,434,406,111,32.0
home_construction,83088.12,604,501,225,27.0
housewares,632248.66,6964,6019,2335,8.0
industry_commerce_and_business,39669.61,268,241,68,40.0
kitchen_dining_laundry_garden_furniture,46328.37,281,248,94,37.0
la_cuisine,2054.99,14,13,10,64.0
luggage_accessories,140429.98,1092,1051,349,25.0
market_place,28378.47,311,284,104,42.0
music,6034.35,38,38,27,57.0
musical_instruments,191498.88,680,636,289,19.0
office_furniture,273960.7,1691,1303,309,15.0
party_supplies,4485.18,43,39,26,60.0
perfumery,399124.87,3419,3242,868,13.0
pet_shop,214315.41,1947,1772,719,18.0
security_and_services,283.29,2,2,2,71.0
signaling_and_security,21509.23,199,143,93,47.0
small_appliances,190648.58,679,632,231,20.0
small_appliances_home_oven_and_coffee,47445.71,76,76,31,35.0
sports_leisure,988048.97,8641,7858,2867,4.0
stationery,230943.23,2517,2381,849,16.0
tablets_printing_image,7528.41,83,79,9,55.0
telephony,323667.53,4545,4287,1134,14.0
toys,483946.6,4117,3979,1411,11.0
watches_gifts,1205005.68,5991,5799,1329,2.0
