customer_state,Avg_Delivery_Time,Avg_Shipping_Time,Avg_Handling_Time,Avg_Delay,Late_Orders,Total_Orders,Late_Order_Rate,geolocation_state,geolocation_lat,geolocation_lng
AC,20.64,17.18,2.27,-20.72,3,81,3.7,AC,-9.70931945037536,-68.45326054744947
AL,24.04,20.61,2.44,-8.71,85,413,20.58,AL,-9.592372624542607,-36.06758841124451
AM,25.99,23.1,1.93,-19.57,4,148,2.7,AM,-3.346562417178248,-60.535696517537765
AP,26.73,23.22,2.3,-19.69,2,68,2.94,AP,0.07376702898644986,-51.20445368724932
BA,18.87,15.59,2.3,-10.79,396,3380,11.72,BA,-13.062406667473196,-39.62716376955837
CE,20.82,17.49,2.39,-10.8,176,1336,13.17,CE,-4.395199272204486,-39.02833489172099
DF,12.51,9.35,2.27,-12.05,118,2140,5.51,DF,-15.81432679852533,-47.97968360755727
ES,15.33,11.96,2.43,-10.5,214,2033,10.53,ES,-20.07808273192345,-40.51605251310244
GO,15.15,11.99,2.14,-12.19,128,2020,6.34,GO,-16.567440296979683,-49.34444683886417
MA,21.12,17.54,2.54,-9.57,125,747,16.73,MA,-3.821203319905209,-44.81827279408157
MG,11.54,8.33,2.32,-13.24,520,11635,4.47,MG,-19.857420431059584,-44.449445474940745
MS,15.19,12.02,2.21,-11.05,68,715,9.51,MS,-20.79081123063184,-54.53515663913428
MT,17.59,14.47,2.12,-14.36,53,907,5.84,MT,-14.214146561567208,-55.71538040655014
PA,23.32,19.84,2.5,-14.07,106,975,10.87,PA,-2.6680227066158344,-49.52915242060215
PB,19.95,16.44,2.41,-13.26,54,536,10.07,PB,-7.08428602732839,-35.85815407450198
PE,17.97,14.7,2.31,-13.29,153,1652,9.26,PE,-8.188159805282936,-35.78698205091476
PI,18.99,15.8,2.29,-11.31,66,495,13.33,PI,-5.700164427111916,-42.4869856857461
PR,11.53,8.32,2.26,-13.31,199,5045,3.94,PR,-24.761659062075193,-50.950722890676076
RJ,14.85,11.56,2.43,-11.77,1495,12852,11.63,RJ,-22.70847720783354,-43.15033689335184
RN,18.82,15.27,2.64,-13.65,44,485,9.07,RN,-5.851195544644245,-36.010144786136024
RO,18.91,16.1,1.8,-20.1,7,253,2.77,RO,-10.358394070030915,-62.707688013186676
RR,28.98,25.22,2.82,-17.29,5,46,10.87,RR,2.72883561671831,-60.67831976577465
RS,14.82,11.63,2.23,-13.91,325,5465,5.95,RS,-29.64972035804017,-52.06492313898364
SC,14.48,11.16,2.35,-11.51,291,3637,8.0,SC,-27.22152135948548,-49.63583876497036
SE,21.03,17.5,2.72,-10.02,51,350,14.57,SE,-10.849795997420657,-37.20015481067848
SP,8.3,5.15,2.26,-11.08,1820,41739,4.36,SP,-23.086679909466376,-47.161809915350574
TO,17.23,13.82,2.41,-12.13,27,280,9.64,TO,-9.491196444874035,-48.35765006877058
